Date,Location,Site,Habitat,Transect,Quadrat,Taxonomy,Percent_Cover
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,LTER 1,Outer 10,3,1,Acropora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,LTER 1,Outer 10,3,2,Acropora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,LTER 1,Outer 10,3,3,Acropora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,LTER 1,Outer 10,3,4,Acropora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,LTER 1,Outer 10,3,5,Acropora,0.6
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,LTER 1,Outer 10,3,6,Acropora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,LTER 1,Outer 10,4,1,Acropora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 2,LTER 1,Outer 10,4,2,Acropora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 3,LTER 1,Outer 10,4,3,Acropora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 4,LTER 1,Outer 10,4,4,Acropora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 5,LTER 1,Outer 10,4,5,Acropora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 6,LTER 1,Outer 10,4,6,Acropora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 7,LTER 1,Outer 10,4,7,Acropora,0.6
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 8,LTER 1,Outer 10,4,8,Acropora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 1,LTER 1,Outer 10,5,1,Acropora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 2,LTER 1,Outer 10,5,2,Acropora,0.5
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 3,LTER 1,Outer 10,5,3,Acropora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 4,LTER 1,Outer 10,5,4,Acropora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 5,LTER 1,Outer 10,5,5,Acropora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 6,LTER 1,Outer 10,5,6,Acropora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 7,LTER 1,Outer 10,5,7,Acropora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 8,LTER 1,Outer 10,5,8,Acropora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,LTER 1,Outer 10,1,1,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,LTER 1,Outer 10,1,2,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,LTER 1,Outer 10,1,3,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,LTER 1,Outer 10,1,4,Astrea,0.6
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,LTER 1,Outer 10,1,5,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,LTER 1,Outer 10,1,6,Astrea,0.5
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,LTER 1,Outer 10,1,7,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,LTER 1,Outer 10,1,8,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,LTER 1,Outer 10,2,1,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,LTER 1,Outer 10,2,2,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,LTER 1,Outer 10,2,3,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,LTER 1,Outer 10,2,4,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,LTER 1,Outer 10,2,5,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,LTER 1,Outer 10,2,6,Astrea,0.6
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,LTER 1,Outer 10,2,7,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 8,LTER 1,Outer 10,2,8,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,LTER 1,Outer 10,3,1,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,LTER 1,Outer 10,3,2,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,LTER 1,Outer 10,3,3,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,LTER 1,Outer 10,3,4,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,LTER 1,Outer 10,3,5,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,LTER 1,Outer 10,3,6,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,LTER 1,Outer 10,4,1,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 2,LTER 1,Outer 10,4,2,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 3,LTER 1,Outer 10,4,3,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 4,LTER 1,Outer 10,4,4,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 5,LTER 1,Outer 10,4,5,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 6,LTER 1,Outer 10,4,6,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 7,LTER 1,Outer 10,4,7,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 8,LTER 1,Outer 10,4,8,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 1,LTER 1,Outer 10,5,1,Astrea,0.6
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 2,LTER 1,Outer 10,5,2,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 3,LTER 1,Outer 10,5,3,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 4,LTER 1,Outer 10,5,4,Astrea,1.1
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 5,LTER 1,Outer 10,5,5,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 6,LTER 1,Outer 10,5,6,Astrea,1.2
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 7,LTER 1,Outer 10,5,7,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 8,LTER 1,Outer 10,5,8,Astrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,LTER 1,Outer 10,1,1,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,LTER 1,Outer 10,1,2,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,LTER 1,Outer 10,1,3,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,LTER 1,Outer 10,1,4,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,LTER 1,Outer 10,1,5,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,LTER 1,Outer 10,1,6,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,LTER 1,Outer 10,1,7,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,LTER 1,Outer 10,1,8,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,LTER 1,Outer 10,2,1,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,LTER 1,Outer 10,2,2,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,LTER 1,Outer 10,2,3,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,LTER 1,Outer 10,2,4,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,LTER 1,Outer 10,2,5,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,LTER 1,Outer 10,2,6,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,LTER 1,Outer 10,2,7,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 8,LTER 1,Outer 10,2,8,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,LTER 1,Outer 10,3,1,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,LTER 1,Outer 10,3,2,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,LTER 1,Outer 10,3,3,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,LTER 1,Outer 10,3,4,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,LTER 1,Outer 10,3,5,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,LTER 1,Outer 10,3,6,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,LTER 1,Outer 10,4,1,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 2,LTER 1,Outer 10,4,2,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 3,LTER 1,Outer 10,4,3,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 4,LTER 1,Outer 10,4,4,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 5,LTER 1,Outer 10,4,5,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 6,LTER 1,Outer 10,4,6,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 7,LTER 1,Outer 10,4,7,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 8,LTER 1,Outer 10,4,8,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 1,LTER 1,Outer 10,5,1,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 2,LTER 1,Outer 10,5,2,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 3,LTER 1,Outer 10,5,3,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 4,LTER 1,Outer 10,5,4,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 5,LTER 1,Outer 10,5,5,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 6,LTER 1,Outer 10,5,6,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 7,LTER 1,Outer 10,5,7,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 8,LTER 1,Outer 10,5,8,Astreopora,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,LTER 1,Outer 10,1,1,Crustose Coralline Algae / Bare Space,3.4
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,LTER 1,Outer 10,1,2,Crustose Coralline Algae / Bare Space,1.2
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,LTER 1,Outer 10,1,3,Crustose Coralline Algae / Bare Space,1.1
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,LTER 1,Outer 10,1,4,Crustose Coralline Algae / Bare Space,9.4
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,LTER 1,Outer 10,1,5,Crustose Coralline Algae / Bare Space,7.4
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,LTER 1,Outer 10,1,6,Crustose Coralline Algae / Bare Space,2.2
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,LTER 1,Outer 10,1,7,Crustose Coralline Algae / Bare Space,1.7
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,LTER 1,Outer 10,1,8,Crustose Coralline Algae / Bare Space,2.3
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,LTER 1,Outer 10,2,1,Crustose Coralline Algae / Bare Space,5.0
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,LTER 1,Outer 10,2,2,Crustose Coralline Algae / Bare Space,3.9
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,LTER 1,Outer 10,2,3,Crustose Coralline Algae / Bare Space,6.4
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,LTER 1,Outer 10,2,4,Crustose Coralline Algae / Bare Space,6.9
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,LTER 1,Outer 10,2,5,Crustose Coralline Algae / Bare Space,3.9
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,LTER 1,Outer 10,2,6,Crustose Coralline Algae / Bare Space,3.5
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,LTER 1,Outer 10,2,7,Crustose Coralline Algae / Bare Space,9.1
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 8,LTER 1,Outer 10,2,8,Crustose Coralline Algae / Bare Space,3.4
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,LTER 1,Outer 10,3,1,Crustose Coralline Algae / Bare Space,1.7
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,LTER 1,Outer 10,3,2,Crustose Coralline Algae / Bare Space,2.9
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,LTER 1,Outer 10,3,3,Crustose Coralline Algae / Bare Space,2.7
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,LTER 1,Outer 10,3,4,Crustose Coralline Algae / Bare Space,10.6
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,LTER 1,Outer 10,3,5,Crustose Coralline Algae / Bare Space,7.3
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,LTER 1,Outer 10,3,6,Crustose Coralline Algae / Bare Space,4.6
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,LTER 1,Outer 10,4,1,Crustose Coralline Algae / Bare Space,2.8
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 2,LTER 1,Outer 10,4,2,Crustose Coralline Algae / Bare Space,7.5
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 3,LTER 1,Outer 10,4,3,Crustose Coralline Algae / Bare Space,9.2
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 4,LTER 1,Outer 10,4,4,Crustose Coralline Algae / Bare Space,6.6
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 5,LTER 1,Outer 10,4,5,Crustose Coralline Algae / Bare Space,5.3
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 6,LTER 1,Outer 10,4,6,Crustose Coralline Algae / Bare Space,4.5
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 7,LTER 1,Outer 10,4,7,Crustose Coralline Algae / Bare Space,2.3
2023,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 8,LTER 1,Outer 10,4,8,Crustose Coralline Algae / Bare Space,7.4
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 1,LTER 1,Outer 10,5,1,Crustose Coralline Algae / Bare Space,2.8
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 2,LTER 1,Outer 10,5,2,Crustose Coralline Algae / Bare Space,4.9
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 3,LTER 1,Outer 10,5,3,Crustose Coralline Algae / Bare Space,4.2
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 4,LTER 1,Outer 10,5,4,Crustose Coralline Algae / Bare Space,2.3
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 5,LTER 1,Outer 10,5,5,Crustose Coralline Algae / Bare Space,1.7
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 6,LTER 1,Outer 10,5,6,Crustose Coralline Algae / Bare Space,6.5
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 7,LTER 1,Outer 10,5,7,Crustose Coralline Algae / Bare Space,1.7
2023,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 8,LTER 1,Outer 10,5,8,Crustose Coralline Algae / Bare Space,1.6
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,LTER 1,Outer 10,1,1,Cyphastrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,LTER 1,Outer 10,1,2,Cyphastrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,LTER 1,Outer 10,1,3,Cyphastrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,LTER 1,Outer 10,1,4,Cyphastrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,LTER 1,Outer 10,1,5,Cyphastrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,LTER 1,Outer 10,1,6,Cyphastrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,LTER 1,Outer 10,1,7,Cyphastrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,LTER 1,Outer 10,1,8,Cyphastrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,LTER 1,Outer 10,2,1,Cyphastrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,LTER 1,Outer 10,2,2,Cyphastrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,LTER 1,Outer 10,2,3,Cyphastrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,LTER 1,Outer 10,2,4,Cyphastrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,LTER 1,Outer 10,2,5,Cyphastrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,LTER 1,Outer 10,2,6,Cyphastrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,LTER 1,Outer 10,2,7,Cyphastrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 8,LTER 1,Outer 10,2,8,Cyphastrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,LTER 1,Outer 10,3,1,Cyphastrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,LTER 1,Outer 10,3,2,Cyphastrea,0.0
2023,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,LTER 1,Outer 10,3,3,Cyphastrea,0.0
