Date,Location,Sand,CTB,Non_Coralline_Crustose_Algae,Soft_Coral,Macroalgae,Acanthastrea,Acropora,Astrea,Astreopora,Cyphastrea,Fungiidae_unidentified,Gardinoseris,Goniastrea,Herpolitha,Leptastrea,Leptoseris,Lobophyllia,Millepora,Montipora,Pachyseris,Pavona,Plesiastrea,Pocillopora,Porites,Porites_irregularis,Porites_rus,Porites_spp_Massive,Psammocora,Sandolitha,Stylocoeniella,Tubastrea,Unknown_or_Other
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,na,  37.0,990.9,na,na,na,  10.3,na,na,na,   0.6,na,na,na,na,na,na,na,na,na,   1.2,na,  50.9,na,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,na,  54.5,990.9,na,  15.6,na,   6.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  17.4,   6.0,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,na,  51.2,990.9,na,na,na,   8.0,na,na,   1.2,na,na,na,na,na,na,na,na,na,na,na,na,  35.8,   3.7,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,na,  50.0,990.9,na,na,na,  28.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  11.3,  10.7,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,na,  50.3,990.9,na,  10.1,na,  14.2,na,na,na,na,na,na,na,na,na,na,na,   0.6,na,na,na,   7.7,  17.2,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,na,  57.8,990.9,na,   1.8,na,  12.7,na,na,na,na,na,na,na,   0.6,na,na,na,na,na,na,na,   6.6,  20.5,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,na,  21.5,990.9,na,na,na,  77.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,   1.2,na,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,na,   7.2,990.9,na,na,na,  82.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,   6.6,   3.6,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,   0.6,  43.5,990.9,na,   2.4,na,  35.1,na,na,na,na,na,na,na,   1.8,na,na,na,na,na,   0.6,na,  16.1,na,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,   9.7,  38.2,990.9,na,   1.2,na,  38.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  12.7,na,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 8,  34.6,  65.4,990.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,na,  59.0,990.9,na,na,na,   6.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  16.9,  16.3,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,   0.6,  64.0,990.9,na,   1.2,na,   4.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  12.2,  17.1,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,na,  40.1,990.9,na,  13.8,na,  24.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,   7.2,  13.2,na,na,na,   1.2,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,na,  23.4,990.9,na,  13.2,na,   3.6,na,na,na,na,na,na,na,na,na,na,na,na,na,   0.6,na,  35.3,  24.0,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,na,  41.7,990.9,na,  13.1,na,na,na,na,na,na,na,na,na,na,na,na,na,   1.8,na,na,na,  25.6,  16.7,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,na,  48.3,990.9,na,  16.3,na,   8.7,na,na,na,na,na,na,na,   7.0,na,na,na,   0.6,na,   2.3,na,  13.4,   3.5,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,   6.7,  47.9,990.9,na,  21.2,na,   3.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  18.8,   1.8,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 2,na,  55.8,990.9,na,   1.2,na,  15.7,na,na,   0.6,na,na,na,na,na,na,na,na,na,na,na,na,   8.7,  15.1,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 3,na,  31.9,990.9,na,   1.8,na,  14.7,na,na,na,na,na,na,na,na,na,na,na,na,na,   0.6,na,  12.3,  38.7,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 4,   0.6,  39.5,990.9,na,  14.2,na,  21.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  23.5,   0.6,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 5,na,  39.5,990.9,na,   3.0,na,   3.0,na,na,na,na,na,na,na,   3.6,na,na,na,na,na,   3.6,na,  17.4,  28.7,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 6,na,  41.3,990.9,na,na,na,   3.6,na,na,na,na,na,na,na,   1.2,na,na,na,na,na,na,na,  32.9,  21.0,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 7,na,  46.1,990.9,na,   4.8,na,   2.4,na,na,na,na,na,na,na,na,na,na,na,na,na,   0.6,na,  32.9,  13.2,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 1,na,  47.0,990.9,na,  12.5,na,   2.4,na,na,na,na,na,na,na,  10.7,na,na,na,na,na,   1.2,na,  20.8,   2.4,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 2,   4.8,  42.3,990.9,na,  22.0,na,na,na,na,na,na,na,na,na,   0.6,na,na,na,na,na,na,na,  30.4,na,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 3,   2.3,  44.6,990.9,na,  18.9,na,   9.1,na,na,na,na,na,na,na,na,na,na,na,   2.3,na,na,na,  17.7,   4.6,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 4,na,  40.7,990.9,na,  19.2,na,   2.4,na,na,na,na,na,na,na,   1.8,na,na,na,na,na,na,na,  29.3,   6.6,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 5,na,  45.6,990.9,na,  41.4,na,na,na,na,na,   0.6,na,na,na,   4.7,na,na,na,na,na,na,na,   6.5,na,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 6,na,  41.1,990.9,na,   8.6,na,  16.6,na,na,na,na,na,na,na,   3.7,na,na,   9.8,na,na,na,na,  16.0,   4.3,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 7,na,  32.3,990.9,na,   4.4,na,  39.2,na,na,   0.6,   1.9,na,na,na,na,na,na,na,na,na,na,na,   8.9,  12.7,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 8,na,  23.9,990.9,na,   8.6,na,   8.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  25.8,  32.5,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 1-2 Quadrat 1,   1.8,  64.4,990.9,na,na,na,  20.9,   0.6,   0.6,na,na,na,na,na,   1.2,na,na,na,na,na,   2.5,na,   5.5,   2.5,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 1-2 Quadrat 2,   9.9,  59.6,990.9,na,na,na,   0.7,na,na,na,na,na,na,na,na,na,na,na,   1.3,na,   1.3,na,  13.2,  12.6,na,na,na,   1.3,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 1-2 Quadrat 3,  15.6,  47.5,990.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,   1.9,  35.0,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 1-2 Quadrat 4,  16.0,  33.7,990.9,na,na,na,   4.9,na,na,na,na,na,na,na,na,na,na,na,   0.6,na,   1.2,na,  12.3,  31.3,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 1-2 Quadrat 5,na,  41.2,990.9,na,na,na,   6.7,na,na,na,na,na,na,na,   3.6,na,na,na,   4.2,na,   7.9,na,  18.8,  10.3,na,na,na,   6.7,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 1-2 Quadrat 6,   7.4,  40.7,990.9,na,na,na,   4.3,na,na,na,na,na,na,na,  10.5,na,na,na,   1.2,na,   1.2,na,  31.5,   2.5,na,na,na,   0.6,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 1-2 Quadrat 7,   6.2,  60.7,990.9,na,   0.6,na,   1.7,na,na,na,   5.1,na,na,na,   2.2,na,na,na,na,na,na,na,   6.7,  16.3,na,na,na,   0.6,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 1-2 Quadrat 8,na,  21.9,990.9,na,na,na,   5.9,na,na,na,na,na,na,na,na,na,na,na,na,na,   3.0,na,  14.2,  55.0,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 2-3 Quadrat 1,  18.0,  48.4,990.9,na,   1.2,na,  10.6,na,na,na,na,na,na,na,   0.6,na,na,na,na,na,na,na,   8.7,  12.4,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 2-3 Quadrat 2,na,  37.7,990.9,na,na,na,  16.0,na,na,na,   1.2,na,na,na,na,na,na,na,na,na,   1.2,na,  22.8,  21.0,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 2-3 Quadrat 3,   5.8,  32.6,990.9,na,na,na,  32.6,na,na,   2.3,na,na,na,na,   1.2,na,na,na,na,na,na,na,   9.3,  16.3,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 2-3 Quadrat 4,na,  69.9,990.9,na,   1.2,na,   2.3,na,na,na,na,na,na,na,   1.2,na,na,na,na,na,na,na,  21.4,   1.2,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 2-3 Quadrat 5,na,  51.8,990.9,na,na,na,na,na,na,na,na,na,na,na,   1.2,na,na,na,na,na,na,na,  31.1,  15.9,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 2-3 Quadrat 6,   1.8,  80.6,990.9,na,   1.2,na,   1.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  13.9,   1.2,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 2-3 Quadrat 7,na,  69.0,990.9,na,na,na,   5.7,na,na,   0.6,na,na,na,na,   0.6,na,na,na,   1.7,na,   3.4,na,  13.2,   5.7,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 2-3 Quadrat 8,na,  52.4,990.9,na,na,na,  15.9,na,na,   0.6,na,na,na,na,   8.8,na,na,na,na,na,   1.2,na,   8.8,  12.4,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 3-4 Quadrat 1,  12.1,  20.8,990.9,na,na,na,  25.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  34.7,   6.9,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 3-4 Quadrat 2,   3.4,  16.9,990.9,na,na,na,  28.8,na,na,na,na,na,na,na,na,na,na,na,na,na,   1.1,na,  38.4,  10.2,na,na,na,   1.1,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 3-4 Quadrat 3,   3.7,  31.3,990.9,na,na,na,  20.9,na,na,na,na,na,na,na,na,na,na,na,na,na,   3.1,na,  25.8,  14.7,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 3-4 Quadrat 4,  13.1,  42.3,990.9,na,na,na,  22.6,na,na,na,   0.6,na,na,na,na,na,na,na,   1.2,na,   4.2,na,   7.7,   7.7,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 3-4 Quadrat 5,  11.0,  22.0,990.9,na,na,na,   4.9,   1.8,   1.8,na,na,na,na,na,   3.0,na,na,  12.2,na,na,   1.2,na,  40.2,   3.7,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 3-4 Quadrat 6,   1.7,  24.9,990.9,na,na,na,   1.7,na,na,na,   3.5,na,na,na,  11.0,na,na,  15.6,na,na,   0.6,na,  37.6,   2.9,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 4-5 Quadrat 1,  11.4,  57.0,990.9,na,na,na,na,na,na,na,na,na,na,na,   4.4,na,na,na,  15.2,na,na,na,   8.9,   3.2,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 4-5 Quadrat 2,  25.3,  25.3,990.9,na,na,na,   5.3,na,na,na,na,na,na,na,  16.5,na,na,na,na,na,   0.6,na,  21.2,   5.9,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 4-5 Quadrat 3,  17.4,  61.2,990.9,na,na,na,na,na,na,na,na,na,na,na,   0.6,na,na,na,na,na,na,na,  13.5,   7.3,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 4-5 Quadrat 4,  10.7,  53.1,990.9,na,   0.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,   6.2,  29.4,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 4-5 Quadrat 5,  28.0,  39.1,990.9,na,   0.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  30.4,   1.9,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 4-5 Quadrat 6,na,  64.8,990.9,na,na,na,   4.9,na,na,na,na,na,na,   9.3,na,na,na,na,na,na,na,na,na,  21.0,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 4-5 Quadrat 7,  12.2,  54.3,990.9,na,na,   1.2,  14.0,   3.0,   3.0,na,na,na,na,   4.9,na,na,na,na,   1.8,na,na,na,   3.7,   4.9,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 4-5 Quadrat 8,na,  34.3,990.9,na,   0.6,na,   8.4,na,na,na,   4.2,na,na,na,   1.8,na,na,na,na,na,   7.8,na,  34.9,   7.8,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 5-6 Quadrat 1,na,  47.3,990.9,na,na,na,  12.7,na,na,na,na,na,na,na,   0.6,na,na,na,   1.8,na,na,na,  23.0,   4.2,na,na,na,   8.5,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 5-6 Quadrat 2,   5.8,  46.2,990.9,na,   0.6,na,   8.3,na,na,na,na,na,na,na,   0.6,na,na,na,   4.5,na,   0.6,na,  19.2,  10.9,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 5-6 Quadrat 3,na,  99.4,990.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 5-6 Quadrat 4,  14.5,  59.0,990.9,na,na,na,na,   1.2,   1.2,na,na,na,na,na,na,na,na,na,  12.7,na,na,na,   3.5,   9.2,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 5-6 Quadrat 5,  21.2,  33.5,990.9,na,na,na,   5.9,na,na,na,na,na,na,na,   5.3,na,na,na,   1.2,na,   1.2,na,  28.8,   2.4,na,na,na,   0.6,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 5-6 Quadrat 6,  30.4,  38.7,990.9,na,   1.2,na,   1.8,na,na,na,na,na,na,na,   4.8,na,na,na,na,na,na,na,  19.6,   1.8,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 17 m Coral Transect Pole 5-6 Quadrat 7,   7.9,  25.5,990.9,na,na,na,  17.6,na,na,na,na,na,na,na,  29.1,na,na,na,na,na,na,na,   4.2,  15.8,na,na,na,na,na,na,na,na
